index,Strain,Type,Rating,Effects,Flavor,Description,Effects_tokens,Flavor_tokens,Description_tokens,General_Description
1533,Orange-Juice,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Happy,Creative","Citrus,Orange,Sweet","Orange Juice, bred by Gage Green Genetics, mixes one of their staple strains Joseph (Underdog OG bag seed) with a cross of California Orange and OG Kush. An indica-driven hybrid, Orange Juice erupts with a blast of orange and lemon notes that combine with diesel undertones to create an inviting aroma and a mouthful of sweet earthy citrus. The effects of Orange Juice are relatively balanced, producing a relaxed body with a happy and uplifted head buzz.","['relaxed', 'euphoric', 'uplifted', 'happy', 'creative']","['citrus', 'orange', 'sweet']","['orange', 'juice,', 'bred', 'gage', 'green', 'genetics,', 'mixes', 'staple', 'strains', 'joseph', '(underdog', 'og', 'bag', 'seed)', 'cross', 'california', 'orange', 'og', 'kush.', 'indica-driven', 'hybrid,', 'orange', 'juice', 'erupts', 'blast', 'orange', 'lemon', 'notes', 'combine', 'diesel', 'undertones', 'create', 'inviting', 'aroma', 'mouthful', 'sweet', 'earthy', 'citrus.', 'effects', 'orange', 'juice', 'relatively', 'balanced,', 'producing', 'relaxed', 'body', 'happy', 'uplifted', 'head', 'buzz.']","Relaxed,Euphoric,Uplifted,Happy,CreativeCitrus,Orange,SweetOrange Juice, bred by Gage Green Genetics, mixes one of their staple strains Joseph (Underdog OG bag seed) with a cross of California Orange and OG Kush. An indica-driven hybrid, Orange Juice erupts with a blast of orange and lemon notes that combine with diesel undertones to create an inviting aroma and a mouthful of sweet earthy citrus. The effects of Orange Juice are relatively balanced, producing a relaxed body with a happy and uplifted head buzz."
1534,Orange-Kush,indica,4.1,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Orange,Citrus,Sweet","Orange Kush was bred by Green Devil Genetics and is the child of Orange Bud and OG Kush. It eases the body into relaxation while lifting moods with a sweet and tangy citrus flavor. This strain is resistant to most pests and mold and has long, dense buds with many orange hairs and trichome crystals.","['relaxed', 'happy', 'euphoric', 'sleepy', 'hungry']","['orange', 'citrus', 'sweet']","['orange', 'kush', 'bred', 'green', 'devil', 'genetics', 'child', 'orange', 'bud', 'og', 'kush.', 'eases', 'body', 'relaxation', 'lifting', 'moods', 'sweet', 'tangy', 'citrus', 'flavor.', 'strain', 'resistant', 'pests', 'mold', 'long,', 'dense', 'buds', 'orange', 'hairs', 'trichome', 'crystals.']","Relaxed,Happy,Euphoric,Sleepy,HungryOrange,Citrus,SweetOrange Kush was bred by Green Devil Genetics and is the child of Orange Bud and OG Kush. It eases the body into relaxation while lifting moods with a sweet and tangy citrus flavor. This strain is resistant to most pests and mold and has long, dense buds with many orange hairs and trichome crystals."
1535,Orange-Kush-Breath,hybrid,0.0,None,None,"Orange Kush Breath by Gabriel Cannabis is an indica-dominant hybrid created from a complex pairing of potent and flavorful genetics. This strain combines Orange Juice with Sour Double Kush, which is then crossed with the famous OG Kush Breath (OGKB). This delicious strain has a wonderful citrus fragrance and flavor while imbuing the limbs with deep, pleasant relaxation. Enjoy this bright, effervescent strain throughout the day to improve mood while reducing stress.   ",['none'],['none'],"['orange', 'kush', 'breath', 'gabriel', 'cannabis', 'indica-dominant', 'hybrid', 'created', 'complex', 'pairing', 'potent', 'flavorful', 'genetics.', 'strain', 'combines', 'orange', 'juice', 'sour', 'double', 'kush,', 'crossed', 'famous', 'og', 'kush', 'breath', '(ogkb).', 'delicious', 'strain', 'wonderful', 'citrus', 'fragrance', 'flavor', 'imbuing', 'limbs', 'deep,', 'pleasant', 'relaxation.', 'enjoy', 'bright,', 'effervescent', 'strain', 'day', 'improve', 'mood', 'reducing', 'stress.', '  ']","NoneNoneOrange Kush Breath by Gabriel Cannabis is an indica-dominant hybrid created from a complex pairing of potent and flavorful genetics. This strain combines Orange Juice with Sour Double Kush, which is then crossed with the famous OG Kush Breath (OGKB). This delicious strain has a wonderful citrus fragrance and flavor while imbuing the limbs with deep, pleasant relaxation. Enjoy this bright, effervescent strain throughout the day to improve mood while reducing stress.   "
1536,Orange-Romulan,indica,4.0,"Euphoric,Relaxed,Tingly,Giggly,Happy","Citrus,Orange,Lime","Orange Romulan is a citrus-forward indica with potency to spare. This strain is the supposed cross of Orange OG and Romulan and has been known to push 20% THC regularly. Also known by its earthy, orange peel undertone and massive trichome production, Orange Romulan offers sedative body effects coupled with a pleasant touch of euphoria. Orange Romulan’s terpene profile is second only to its ability to abate muscle spasms and minor physical pain.   ","['euphoric', 'relaxed', 'tingly', 'giggly', 'happy']","['citrus', 'orange', 'lime']","['orange', 'romulan', 'citrus-forward', 'indica', 'potency', 'spare.', 'strain', 'supposed', 'cross', 'orange', 'og', 'romulan', 'known', 'push', '20%', 'thc', 'regularly.', 'known', 'earthy,', 'orange', 'peel', 'undertone', 'massive', 'trichome', 'production,', 'orange', 'romulan', 'offers', 'sedative', 'body', 'effects', 'coupled', 'pleasant', 'touch', 'euphoria.', 'orange', 'romulan’s', 'terpene', 'profile', 'second', 'ability', 'abate', 'muscle', 'spasms', 'minor', 'physical', 'pain.', '  ']","Euphoric,Relaxed,Tingly,Giggly,HappyCitrus,Orange,LimeOrange Romulan is a citrus-forward indica with potency to spare. This strain is the supposed cross of Orange OG and Romulan and has been known to push 20% THC regularly. Also known by its earthy, orange peel undertone and massive trichome production, Orange Romulan offers sedative body effects coupled with a pleasant touch of euphoria. Orange Romulan’s terpene profile is second only to its ability to abate muscle spasms and minor physical pain.   "
1537,Orange-Skunk,hybrid,4.1,"Happy,Relaxed,Uplifted,Hungry,Tingly","Citrus,Orange,Earthy","Orange Skunk is a clear-headed hybrid cross between Californian Orange and Skunk. With a smell that is as sweet as it is sour, Orange Skunk delivers strong physical sensations that creep into a steady cerebral invigoration. Its medical uses are diverse, but patients treating stress, anxiety, inflammation and headaches may benefit the most from this California hybrid. Novice growers delight in the simplicity of raising Orange Skunk plants, which flower in 8 to 10 weeks in indoor gardens.","['happy', 'relaxed', 'uplifted', 'hungry', 'tingly']","['citrus', 'orange', 'earthy']","['orange', 'skunk', 'clear-headed', 'hybrid', 'cross', 'californian', 'orange', 'skunk.', 'smell', 'sweet', 'sour,', 'orange', 'skunk', 'delivers', 'strong', 'physical', 'sensations', 'creep', 'steady', 'cerebral', 'invigoration.', 'medical', 'uses', 'diverse,', 'patients', 'treating', 'stress,', 'anxiety,', 'inflammation', 'headaches', 'benefit', 'california', 'hybrid.', 'novice', 'growers', 'delight', 'simplicity', 'raising', 'orange', 'skunk', 'plants,', 'flower', '8', '10', 'weeks', 'indoor', 'gardens.']","Happy,Relaxed,Uplifted,Hungry,TinglyCitrus,Orange,EarthyOrange Skunk is a clear-headed hybrid cross between Californian Orange and Skunk. With a smell that is as sweet as it is sour, Orange Skunk delivers strong physical sensations that creep into a steady cerebral invigoration. Its medical uses are diverse, but patients treating stress, anxiety, inflammation and headaches may benefit the most from this California hybrid. Novice growers delight in the simplicity of raising Orange Skunk plants, which flower in 8 to 10 weeks in indoor gardens."
1538,Orange-Turbo,hybrid,4.3,"Happy,Creative,Relaxed,Sleepy,Hungry","Citrus,Orange,Sweet","Orange Turbo, bred by MTG Seeds, is a flavorful hybrid strain that crosses Orange Creamsicle with Turbo Diesel. The aroma is as sweet and citrusy as the name suggests, with a sharp sour aroma that cuts through on the exhale. Despite the minimal effort this hybrid demands of her growers, Orange Turbo rewards you with large fragrant buds following a nine week flowering cycle.","['happy', 'creative', 'relaxed', 'sleepy', 'hungry']","['citrus', 'orange', 'sweet']","['orange', 'turbo,', 'bred', 'mtg', 'seeds,', 'flavorful', 'hybrid', 'strain', 'crosses', 'orange', 'creamsicle', 'turbo', 'diesel.', 'aroma', 'sweet', 'citrusy', 'suggests,', 'sharp', 'sour', 'aroma', 'cuts', 'exhale.', 'despite', 'minimal', 'effort', 'hybrid', 'demands', 'growers,', 'orange', 'turbo', 'rewards', 'large', 'fragrant', 'buds', 'following', 'week', 'flowering', 'cycle.']","Happy,Creative,Relaxed,Sleepy,HungryCitrus,Orange,SweetOrange Turbo, bred by MTG Seeds, is a flavorful hybrid strain that crosses Orange Creamsicle with Turbo Diesel. The aroma is as sweet and citrusy as the name suggests, with a sharp sour aroma that cuts through on the exhale. Despite the minimal effort this hybrid demands of her growers, Orange Turbo rewards you with large fragrant buds following a nine week flowering cycle."
1539,Orange-Velvet,hybrid,4.3,"Uplifted,Relaxed,Happy,Euphoric,Focused","Orange,Citrus,Sweet","This hard to come by strain known as Orange Velvet, tastes and smells remarkably like Orange Dreamsicles; the orange-y, creamy, frozen desert on a stick. The strain was likely created somewhere in the Pacific Northwest using Skunk genetics. The effects are not super powerful with the OV, but the taste and aroma more than make up for it. The high gives just the right amount of euphoric lift, while maintaining an even focus and clarity for a duration of 2 to 3 hours. Medicinally, this strain is good for treating light pain. Orange Velvet has been discontinued for the most part, but it does pop up from time to time in some dispensaries; so if you see it out there in the world, buy large!  ","['uplifted', 'relaxed', 'happy', 'euphoric', 'focused']","['orange', 'citrus', 'sweet']","['hard', 'come', 'strain', 'known', 'orange', 'velvet,', 'tastes', 'smells', 'remarkably', 'like', 'orange', 'dreamsicles;', 'orange-y,', 'creamy,', 'frozen', 'desert', 'stick.', 'strain', 'likely', 'created', 'pacific', 'northwest', 'skunk', 'genetics.', 'effects', 'super', 'powerful', 'ov,', 'taste', 'aroma', 'it.', 'high', 'gives', 'right', 'euphoric', 'lift,', 'maintaining', 'focus', 'clarity', 'duration', '2', '3', 'hours.', 'medicinally,', 'strain', 'good', 'treating', 'light', 'pain.', 'orange', 'velvet', 'discontinued', 'part,', 'pop', 'time', 'time', 'dispensaries;', 'world,', 'buy', 'large!']","Uplifted,Relaxed,Happy,Euphoric,FocusedOrange,Citrus,SweetThis hard to come by strain known as Orange Velvet, tastes and smells remarkably like Orange Dreamsicles; the orange-y, creamy, frozen desert on a stick. The strain was likely created somewhere in the Pacific Northwest using Skunk genetics. The effects are not super powerful with the OV, but the taste and aroma more than make up for it. The high gives just the right amount of euphoric lift, while maintaining an even focus and clarity for a duration of 2 to 3 hours. Medicinally, this strain is good for treating light pain. Orange Velvet has been discontinued for the most part, but it does pop up from time to time in some dispensaries; so if you see it out there in the world, buy large!  "
1540,Orange-Wreck,sativa,3.0,"Uplifted,Creative,Energetic,Euphoric,Focused","Orange,Citrus,Pine","Orange Wreck is the original homegrown cross of Trainwreck and a special (if not mysterious) old school Allagash strain. Exhibiting notes of pungent pine, fermented oranges, and funk, Orange Wreck offers consumers a challenging palate atop stimulating effects. This strain settles behind the eyes and in the body, igniting appetite and offering moderate pain relief. ","['uplifted', 'creative', 'energetic', 'euphoric', 'focused']","['orange', 'citrus', 'pine']","['orange', 'wreck', 'original', 'homegrown', 'cross', 'trainwreck', 'special', '(if', 'mysterious)', 'old', 'school', 'allagash', 'strain.', 'exhibiting', 'notes', 'pungent', 'pine,', 'fermented', 'oranges,', 'funk,', 'orange', 'wreck', 'offers', 'consumers', 'challenging', 'palate', 'atop', 'stimulating', 'effects.', 'strain', 'settles', 'eyes', 'body,', 'igniting', 'appetite', 'offering', 'moderate', 'pain', 'relief.']","Uplifted,Creative,Energetic,Euphoric,FocusedOrange,Citrus,PineOrange Wreck is the original homegrown cross of Trainwreck and a special (if not mysterious) old school Allagash strain. Exhibiting notes of pungent pine, fermented oranges, and funk, Orange Wreck offers consumers a challenging palate atop stimulating effects. This strain settles behind the eyes and in the body, igniting appetite and offering moderate pain relief. "
1541,Oregon-Diesel,indica,4.5,"Relaxed,Happy,Sleepy,Tingly,Euphoric","Diesel,Earthy,Pine",Oregon Diesel is an indica-dominant hybrid that combines NYC Diesel and Blackberry genetics in a blend bred by Homegrown Natural Wonders specifically for the Pacific Northwest climate. This strain was popularized by Oregrown as they hunted for quality genetics. Oregon Diesel is recommended for nighttime pain relief and its relaxing yet clear-headed effects will calm stress and help you avoid sleepless nights.,"['relaxed', 'happy', 'sleepy', 'tingly', 'euphoric']","['diesel', 'earthy', 'pine']","['oregon', 'diesel', 'indica-dominant', 'hybrid', 'combines', 'nyc', 'diesel', 'blackberry', 'genetics', 'blend', 'bred', 'homegrown', 'natural', 'wonders', 'specifically', 'pacific', 'northwest', 'climate.', 'strain', 'popularized', 'oregrown', 'hunted', 'quality', 'genetics.', 'oregon', 'diesel', 'recommended', 'nighttime', 'pain', 'relief', 'relaxing', 'clear-headed', 'effects', 'calm', 'stress', 'help', 'avoid', 'sleepless', 'nights.']","Relaxed,Happy,Sleepy,Tingly,EuphoricDiesel,Earthy,PineOregon Diesel is an indica-dominant hybrid that combines NYC Diesel and Blackberry genetics in a blend bred by Homegrown Natural Wonders specifically for the Pacific Northwest climate. This strain was popularized by Oregrown as they hunted for quality genetics. Oregon Diesel is recommended for nighttime pain relief and its relaxing yet clear-headed effects will calm stress and help you avoid sleepless nights."
1543,Oregon-Pinot-Noir,sativa,4.6,"Relaxed,Euphoric,Sleepy,Focused,Tingly","Grape,Sweet,Diesel","This Hawaiian Purple Kush and Pitbull cross was bred among the grapes of a respected Pinot Noir vineyard in Oregon. Taking its name from the breeding location and its deep purple buds, this versatile plant gives off the taste of sweet grapes with a spicy hint of Haze. Though a 80/20 sativa-dominant strain, Oregon Pinot Noir gives the effects of a couch-locking indica, providing a noticeable body high best served for nighttime consumption.","['relaxed', 'euphoric', 'sleepy', 'focused', 'tingly']","['grape', 'sweet', 'diesel']","['hawaiian', 'purple', 'kush', 'pitbull', 'cross', 'bred', 'grapes', 'respected', 'pinot', 'noir', 'vineyard', 'oregon.', 'taking', 'breeding', 'location', 'deep', 'purple', 'buds,', 'versatile', 'plant', 'gives', 'taste', 'sweet', 'grapes', 'spicy', 'hint', 'haze.', '80/20', 'sativa-dominant', 'strain,', 'oregon', 'pinot', 'noir', 'gives', 'effects', 'couch-locking', 'indica,', 'providing', 'noticeable', 'body', 'high', 'best', 'served', 'nighttime', 'consumption.']","Relaxed,Euphoric,Sleepy,Focused,TinglyGrape,Sweet,DieselThis Hawaiian Purple Kush and Pitbull cross was bred among the grapes of a respected Pinot Noir vineyard in Oregon. Taking its name from the breeding location and its deep purple buds, this versatile plant gives off the taste of sweet grapes with a spicy hint of Haze. Though a 80/20 sativa-dominant strain, Oregon Pinot Noir gives the effects of a couch-locking indica, providing a noticeable body high best served for nighttime consumption."
1546,Ortega,indica,4.8,"Relaxed,Giggly,Uplifted,Euphoric,Sleepy","Spicy/Herbal,Pepper,Earthy","Ortega by Mr. Nice Seeds is an indica strain bred from Northern Lights genetics. Since its creation in the mid-1980s, Oretga has offered growers heavy yields of resinous, sweet-smelling buds that finish flowering in just 6 to 8 weeks. Its effects are heavily tranquilizing and help to usher in sleep with late night use. ","['relaxed', 'giggly', 'uplifted', 'euphoric', 'sleepy']","['spicy', 'herbal', 'pepper', 'earthy']","['ortega', 'mr.', 'nice', 'seeds', 'indica', 'strain', 'bred', 'northern', 'lights', 'genetics.', 'creation', 'mid-1980s,', 'oretga', 'offered', 'growers', 'heavy', 'yields', 'resinous,', 'sweet-smelling', 'buds', 'finish', 'flowering', '6', '8', 'weeks.', 'effects', 'heavily', 'tranquilizing', 'help', 'usher', 'sleep', 'late', 'night', 'use.']","Relaxed,Giggly,Uplifted,Euphoric,SleepySpicy/Herbal,Pepper,EarthyOrtega by Mr. Nice Seeds is an indica strain bred from Northern Lights genetics. Since its creation in the mid-1980s, Oretga has offered growers heavy yields of resinous, sweet-smelling buds that finish flowering in just 6 to 8 weeks. Its effects are heavily tranquilizing and help to usher in sleep with late night use. "
1547,Oteils-Egyptian-Kush,hybrid,4.8,"Happy,Hungry,Relaxed,Focused,Creative","Earthy,Pungent,Woody","Oteil’s Egyptian Kush was created through a collaboration between GroundSwell's master cultivator, genetics aficionado: T-Dogg Gardens, and Oteil Burbridge, the Grammy-winning bassist from the Allman Brothers and Dead & Company. With two powerhouse indica-leaning parents, this strain boasts dense nugs and sweet cherry flavor backed up by hints of diesel and anise. Energetic and uplifting up front, Oteil’s Egyptian Kush provides a blissful body effect that grabs ahold slowly without weighing you down. This strain may be great for pain management, insomnia, happiness, and relaxation.","['happy', 'hungry', 'relaxed', 'focused', 'creative']","['earthy', 'pungent', 'woody']","['oteil’s', 'egyptian', 'kush', 'created', 'collaboration', ""groundswell's"", 'master', 'cultivator,', 'genetics', 'aficionado:', 't-dogg', 'gardens,', 'oteil', 'burbridge,', 'grammy-winning', 'bassist', 'allman', 'brothers', 'dead', '&', 'company.', 'powerhouse', 'indica-leaning', 'parents,', 'strain', 'boasts', 'dense', 'nugs', 'sweet', 'cherry', 'flavor', 'backed', 'hints', 'diesel', 'anise.', 'energetic', 'uplifting', 'front,', 'oteil’s', 'egyptian', 'kush', 'provides', 'blissful', 'body', 'effect', 'grabs', 'ahold', 'slowly', 'weighing', 'down.', 'strain', 'great', 'pain', 'management,', 'insomnia,', 'happiness,', 'relaxation.']","Happy,Hungry,Relaxed,Focused,CreativeEarthy,Pungent,WoodyOteil’s Egyptian Kush was created through a collaboration between GroundSwell's master cultivator, genetics aficionado: T-Dogg Gardens, and Oteil Burbridge, the Grammy-winning bassist from the Allman Brothers and Dead & Company. With two powerhouse indica-leaning parents, this strain boasts dense nugs and sweet cherry flavor backed up by hints of diesel and anise. Energetic and uplifting up front, Oteil’s Egyptian Kush provides a blissful body effect that grabs ahold slowly without weighing you down. This strain may be great for pain management, insomnia, happiness, and relaxation."
1548,Outer-Space,sativa,4.7,"Uplifted,Creative,Euphoric,Energetic,Happy","Sweet,Citrus,Berry",Outer Space is a sativa-dominant strain that is a cross of Island Sweet Skunk and Trinity and is known for cerebral and creative effects. It has a citrusy odor that is strong and produces a flavorful smoke. Great as a daytime medicine.,"['uplifted', 'creative', 'euphoric', 'energetic', 'happy']","['sweet', 'citrus', 'berry']","['outer', 'space', 'sativa-dominant', 'strain', 'cross', 'island', 'sweet', 'skunk', 'trinity', 'known', 'cerebral', 'creative', 'effects.', 'citrusy', 'odor', 'strong', 'produces', 'flavorful', 'smoke.', 'great', 'daytime', 'medicine.']","Uplifted,Creative,Euphoric,Energetic,HappySweet,Citrus,BerryOuter Space is a sativa-dominant strain that is a cross of Island Sweet Skunk and Trinity and is known for cerebral and creative effects. It has a citrusy odor that is strong and produces a flavorful smoke. Great as a daytime medicine."
1549,Outlaw,sativa,4.5,"Euphoric,Uplifted,Creative,Energetic,Focused","Earthy,Woody,Spicy/Herbal","Outlaw is a high-intensity strain bred by Dutch Passion, who combined Super Haze and Amnesia to create this 80% sativa. It inherits a sweet aroma from its Haze parent, intermixing fresh earthiness with sour lemon. Outlaw’s initial impact comes quickly and powerfully, but evens out to an uplifting, clear-headed buzz over time. With a THC content that typically falls between 15-20%, Outlaw may help patients treat glaucoma, inflammation, depression, migraines, and ADD/ADHD. Outlaw’s breeders recommend growing this sativa using the screen of green (SCROG) method with a 12-week flowering in order to capture its full flavor.","['euphoric', 'uplifted', 'creative', 'energetic', 'focused']","['earthy', 'woody', 'spicy', 'herbal']","['outlaw', 'high-intensity', 'strain', 'bred', 'dutch', 'passion,', 'combined', 'super', 'haze', 'amnesia', 'create', '80%', 'sativa.', 'inherits', 'sweet', 'aroma', 'haze', 'parent,', 'intermixing', 'fresh', 'earthiness', 'sour', 'lemon.', 'outlaw’s', 'initial', 'impact', 'comes', 'quickly', 'powerfully,', 'evens', 'uplifting,', 'clear-headed', 'buzz', 'time.', 'thc', 'content', 'typically', 'falls', '15-20%,', 'outlaw', 'help', 'patients', 'treat', 'glaucoma,', 'inflammation,', 'depression,', 'migraines,', 'add/adhd.', 'outlaw’s', 'breeders', 'recommend', 'growing', 'sativa', 'screen', 'green', '(scrog)', 'method', '12-week', 'flowering', 'order', 'capture', 'flavor.']","Euphoric,Uplifted,Creative,Energetic,FocusedEarthy,Woody,Spicy/HerbalOutlaw is a high-intensity strain bred by Dutch Passion, who combined Super Haze and Amnesia to create this 80% sativa. It inherits a sweet aroma from its Haze parent, intermixing fresh earthiness with sour lemon. Outlaw’s initial impact comes quickly and powerfully, but evens out to an uplifting, clear-headed buzz over time. With a THC content that typically falls between 15-20%, Outlaw may help patients treat glaucoma, inflammation, depression, migraines, and ADD/ADHD. Outlaw’s breeders recommend growing this sativa using the screen of green (SCROG) method with a 12-week flowering in order to capture its full flavor."
1550,Ogezus,indica,4.5,"Relaxed,Euphoric,Happy,Creative,Energetic","Sweet,Citrus,Lemon","O’Gezus is an indica-dominant collaboration between Dark Heart Nursery’s Fire OG and Humboldt Seed Company’s Humboldt OG. This unique strain was plucked by Dark Heart Nursery during a 2017 phenotype hunt. O’Gezus was picked for its “mean” look, expressing serrated fan leaves and dark coloration. It also exhibits a delightful Kush aroma with subtle notes of gas on the finish. Known to offer pain relief, mood elevation, and physical sedation that gets progressively heavier with continued consumption, enjoy O’Gezus near the end of the day to maximize its relaxing effects.   ","['relaxed', 'euphoric', 'happy', 'creative', 'energetic']","['sweet', 'citrus', 'lemon']","['o’gezus', 'indica-dominant', 'collaboration', 'dark', 'heart', 'nursery’s', 'fire', 'og', 'humboldt', 'seed', 'company’s', 'humboldt', 'og.', 'unique', 'strain', 'plucked', 'dark', 'heart', 'nursery', '2017', 'phenotype', 'hunt.', 'o’gezus', 'picked', '“mean”', 'look,', 'expressing', 'serrated', 'fan', 'leaves', 'dark', 'coloration.', 'exhibits', 'delightful', 'kush', 'aroma', 'subtle', 'notes', 'gas', 'finish.', 'known', 'offer', 'pain', 'relief,', 'mood', 'elevation,', 'physical', 'sedation', 'gets', 'progressively', 'heavier', 'continued', 'consumption,', 'enjoy', 'o’gezus', 'near', 'end', 'day', 'maximize', 'relaxing', 'effects.', '  ']","Relaxed,Euphoric,Happy,Creative,EnergeticSweet,Citrus,LemonO’Gezus is an indica-dominant collaboration between Dark Heart Nursery’s Fire OG and Humboldt Seed Company’s Humboldt OG. This unique strain was plucked by Dark Heart Nursery during a 2017 phenotype hunt. O’Gezus was picked for its “mean” look, expressing serrated fan leaves and dark coloration. It also exhibits a delightful Kush aroma with subtle notes of gas on the finish. Known to offer pain relief, mood elevation, and physical sedation that gets progressively heavier with continued consumption, enjoy O’Gezus near the end of the day to maximize its relaxing effects.   "
1551,P-51,indica,4.4,"Happy,Giggly,Tingly,Uplifted,Relaxed","Earthy,Spicy/Herbal,Sweet","P-51 is a piney, earthy indica strain that crosses a Tahoe OG male and a Blackberry mother. Created by Clint Pipkin, a grower in both Humboldt County and Northwestern Washington, the male was flowered in a window sill on the Key Peninsula in Pierce County. Thousands of seeds were created during this cross, and Washington producer Rootworx narrowed this strain down to the best cut from 70 phenotypes. This has become Rootworx’s signature strain, resulting in DOPE Magazine’s “Strain of the Month” in June 2015. This deeply relaxing indica has also been deemed “The Tranquilizer Dart” in recreational retail shops throughout Washington state.","['happy', 'giggly', 'tingly', 'uplifted', 'relaxed']","['earthy', 'spicy', 'herbal', 'sweet']","['p-51', 'piney,', 'earthy', 'indica', 'strain', 'crosses', 'tahoe', 'og', 'male', 'blackberry', 'mother.', 'created', 'clint', 'pipkin,', 'grower', 'humboldt', 'county', 'northwestern', 'washington,', 'male', 'flowered', 'window', 'sill', 'key', 'peninsula', 'pierce', 'county.', 'thousands', 'seeds', 'created', 'cross,', 'washington', 'producer', 'rootworx', 'narrowed', 'strain', 'best', 'cut', '70', 'phenotypes.', 'rootworx’s', 'signature', 'strain,', 'resulting', 'dope', 'magazine’s', '“strain', 'month”', 'june', '2015.', 'deeply', 'relaxing', 'indica', 'deemed', '“the', 'tranquilizer', 'dart”', 'recreational', 'retail', 'shops', 'washington', 'state.']","Happy,Giggly,Tingly,Uplifted,RelaxedEarthy,Spicy/Herbal,SweetP-51 is a piney, earthy indica strain that crosses a Tahoe OG male and a Blackberry mother. Created by Clint Pipkin, a grower in both Humboldt County and Northwestern Washington, the male was flowered in a window sill on the Key Peninsula in Pierce County. Thousands of seeds were created during this cross, and Washington producer Rootworx narrowed this strain down to the best cut from 70 phenotypes. This has become Rootworx’s signature strain, resulting in DOPE Magazine’s “Strain of the Month” in June 2015. This deeply relaxing indica has also been deemed “The Tranquilizer Dart” in recreational retail shops throughout Washington state."
1552,P-91,hybrid,4.5,"Euphoric,Happy,Relaxed,Creative,Energetic","Sweet,Chemical,Citrus","P-91 is the product of Northern Lights crossed with itself three times. This cubing comes out as a 50/50 hybrid that offers potent, balanced effects that settle in the limbs. The P-91 genetics originated in Poway, CA in 1991 (e.g., P-91) and has been employed by patients up and down the west coast seeking a functional smoke with inherent indica effects that are not debilitating.","['euphoric', 'happy', 'relaxed', 'creative', 'energetic']","['sweet', 'chemical', 'citrus']","['p-91', 'product', 'northern', 'lights', 'crossed', 'times.', 'cubing', 'comes', '50/50', 'hybrid', 'offers', 'potent,', 'balanced', 'effects', 'settle', 'limbs.', 'p-91', 'genetics', 'originated', 'poway,', '1991', '(e.g.,', 'p-91)', 'employed', 'patients', 'west', 'coast', 'seeking', 'functional', 'smoke', 'inherent', 'indica', 'effects', 'debilitating.']","Euphoric,Happy,Relaxed,Creative,EnergeticSweet,Chemical,CitrusP-91 is the product of Northern Lights crossed with itself three times. This cubing comes out as a 50/50 hybrid that offers potent, balanced effects that settle in the limbs. The P-91 genetics originated in Poway, CA in 1991 (e.g., P-91) and has been employed by patients up and down the west coast seeking a functional smoke with inherent indica effects that are not debilitating."
1554,Pacific-Blue,indica,5.0,"Tingly,Relaxed,Sleepy,Uplifted,Creative","Flowery,Earthy,Sweet","Pacific Blue by Falcanna is a flavorful cut with a THC content that consistently reaches above 20%. This indica-dominant strain was bred by crossing the legendary Kush powerhouse Pre-98 Bubba Kush with the fruity phenom DJ Short Blueberry. These robust and flavorful genetics offer aromas of sweet skunk and blueberry with a smooth floral aftertaste. Pacific Blue’s effects vary with dosage, but the onset is calming and euphoric, insulating the consumer in carefree bliss. This strain can get rather sedating with continued consumption, weighing on the limbs and gluing the body to the couch. Utilize Falcanna’s Pacific Blue to help with headaches, nausea, anxiety, and restlessness.      ","['tingly', 'relaxed', 'sleepy', 'uplifted', 'creative']","['flowery', 'earthy', 'sweet']","['pacific', 'blue', 'falcanna', 'flavorful', 'cut', 'thc', 'content', 'consistently', 'reaches', '20%.', 'indica-dominant', 'strain', 'bred', 'crossing', 'legendary', 'kush', 'powerhouse', 'pre-98', 'bubba', 'kush', 'fruity', 'phenom', 'dj', 'short', 'blueberry.', 'robust', 'flavorful', 'genetics', 'offer', 'aromas', 'sweet', 'skunk', 'blueberry', 'smooth', 'floral', 'aftertaste.', 'pacific', 'blue’s', 'effects', 'vary', 'dosage,', 'onset', 'calming', 'euphoric,', 'insulating', 'consumer', 'carefree', 'bliss.', 'strain', 'sedating', 'continued', 'consumption,', 'weighing', 'limbs', 'gluing', 'body', 'couch.', 'utilize', 'falcanna’s', 'pacific', 'blue', 'help', 'headaches,', 'nausea,', 'anxiety,', 'restlessness.', '     ']","Tingly,Relaxed,Sleepy,Uplifted,CreativeFlowery,Earthy,SweetPacific Blue by Falcanna is a flavorful cut with a THC content that consistently reaches above 20%. This indica-dominant strain was bred by crossing the legendary Kush powerhouse Pre-98 Bubba Kush with the fruity phenom DJ Short Blueberry. These robust and flavorful genetics offer aromas of sweet skunk and blueberry with a smooth floral aftertaste. Pacific Blue’s effects vary with dosage, but the onset is calming and euphoric, insulating the consumer in carefree bliss. This strain can get rather sedating with continued consumption, weighing on the limbs and gluing the body to the couch. Utilize Falcanna’s Pacific Blue to help with headaches, nausea, anxiety, and restlessness.      "
